16815360,16815615,TH,Thailand,Satun,Tha Phae,6.79014,99.97005
16815616,16815871,TH,Thailand,Phuket,Phuket,7.89059,98.3981
16815872,16816127,TH,Thailand,Phuket,Thalang,8.0317,98.33408
16816128,16816383,TH,Thailand,Krabi,Saladan,7.61342,99.03651
16816384,16816639,TH,Thailand,Satun,Tha Phae,6.79014,99.97005
16816640,16816895,TH,Thailand,Nonthaburi,Mueang Nonthaburi,13.86075,100.51477
16816896,16817663,TH,Thailand,Phuket,Phuket,7.89059,98.3981
16817664,16817919,TH,Thailand,Trang,Trang,7.55633,99.61141
16817920,16818175,TH,Thailand,Surat Thani,Tha Chana,9.57203,99.16586
16818176,16818431,TH,Thailand,Ranong,Kra Buri,10.40429,98.77266
16818432,16818687,TH,Thailand,Nakhon Si Thammarat,Ron Phibun,8.17911,99.85425
16818688,16818943,TH,Thailand,Chumphon,Pathio,10.70908,99.3182
16818944,16819199,TH,Thailand,Nakhon Si Thammarat,Thung Yai,8.30119,99.3661
16819200,16819455,TH,Thailand,Phangnga,Phang Nga,8.4509,98.52985
16819456,16819711,TH,Thailand,Chiang Mai,Chiang Dao,19.36542,98.96453
16819712,16819967,TH,Thailand,Trang,Kantang,7.40542,99.51561
16819968,16820223,TH,Thailand,Ranong,Ranong,9.96583,98.63476
16820224,16820479,TH,Thailand,Trang,Huai Yot,7.78933,99.63478
16820480,16820735,TH,Thailand,Phatthalung,Phatthalung,7.61786,100.07792
16820736,16820991,TH,Thailand,Phangnga,Kapong,8.69697,98.40914
16820992,16821247,TH,Thailand,Phuket,Phuket,7.89059,98.3981
16821248,16821503,TH,Thailand,Phangnga,Phang Nga,8.4509,98.52985
16821504,16821759,TH,Thailand,Nakhon Si Thammarat,Ron Phibun,8.17911,99.85425
16821760,16822271,TH,Thailand,Phangnga,Takua Thung,8.38373,98.45123
16822272,16822527,TH,Thailand,Rayong,Pluak Daeng,12.97122,101.21463
16822528,16822783,TH,Thailand,Chachoengsao,Bang Pakong,13.54297,100.99333
16822784,16823039,TH,Thailand,Prachin Buri,Prachin Buri,14.04992,101.36864
16823040,16823295,TH,Thailand,Prachin Buri,Kabin Buri,13.95114,101.71769
16823296,16823551,TH,Thailand,Chon Buri,Pattaya,12.93333,100.88333
16823552,16823807,TH,Thailand,Chachoengsao,Chachoengsao,13.6882,101.07156
16823808,16824319,TH,Thailand,Chon Buri,Ban Talat Bueng,13.07147,101.00314
16824320,16824831,TH,Thailand,Rayong,Ban Chang,12.72543,101.0553
16824832,16825087,TH,Thailand,Chon Buri,Ban Talat Bueng,13.07147,101.00314
16825088,16825343,TH,Thailand,Rayong,Nikhom Phattana,12.82736,101.20273
16825344,16825599,TH,Thailand,Chon Buri,Pattaya,12.93333,100.88333
16825600,16825855,TH,Thailand,Prachin Buri,Prachin Buri,14.04992,101.36864
16825856,16826367,TH,Thailand,Chon Buri,Sattahip,12.66644,100.90073
16826368,16826623,TH,Thailand,Chumphon,Lang Suan,9.94561,99.07847
16826624,16826879,TH,Thailand,Krabi,Ko Lanta,7.53362,99.08647
16826880,16827135,TH,Thailand,Phuket,Thalang,8.0317,98.33408
16827136,16827391,TH,Thailand,Phangnga,Kapong,8.69697,98.40914
16827392,16827647,TH,Thailand,Krabi,Ko Lanta,7.53362,99.08647
16827648,16827903,TH,Thailand,Surat Thani,Kanchanadit,9.16611,99.47014
16827904,16828159,TH,Thailand,Phatthalung,Phatthalung,7.61786,100.07792
